"scu_id","mean_hgt_m","estimated_floor_count","mean_f2f_m","mean_f2f_m_epc"
52401019310007,4.53,1,4.5300000000000000,
52401019310008,7.16,2,3.5800000000000000,
52401019310009,8.92,3,2.9733333333333333,
52401019310013,8.49,2,4.2450000000000000,
52401019330008,5.70,2,2.8500000000000000,2.3900000000000000
52401019330040,3.30,2,1.6500000000000000,
52401019330064,5.50,2,2.7500000000000000,2.3800000000000000
52401019330069,0.89,1,0.89000000000000000000,2.4000000000000000
52401019330077,6.12,2,3.0600000000000000,
52401019330090,5.32,2,2.6600000000000000,
52401019330091,6.02,2,3.0100000000000000,2.3277777777777778
52401019330104,5.56,2,2.7800000000000000,
52401020910001,6.45,2,3.2250000000000000,
52401020910002,8.45,2,4.2250000000000000,
52401020910003,6.69,2,3.3450000000000000,
52401020910004,6.46,3,2.1533333333333333,
52401020930001,7.63,3,2.5433333333333333,
52401020930002,3.61,1,3.6100000000000000,3.9100000000000000
52401020930003,5.35,2,2.6750000000000000,2.4700000000000000
52401020930004,6.64,2,3.3200000000000000,2.5800000000000000
52401020930005,6.79,2,3.3950000000000000,2.7000000000000000
52401020930006,7.53,2,3.7650000000000000,
52401020930007,3.85,1,3.8500000000000000,2.6000000000000000
52401020930008,6.56,2,3.2800000000000000,
52401020930009,6.05,2,3.0250000000000000,
52401020930010,7.00,2,3.5000000000000000,3.2900000000000000
52401020930011,10.39,3,3.4633333333333333,2.6600000000000000
52401020930012,6.32,2,3.1600000000000000,
52401020930013,11.43,4,2.8575000000000000,2.3742857142857143
52401020930014,6.16,3,2.0533333333333333,2.3800000000000000
52401020930015,6.70,2,3.3500000000000000,
52401020930016,5.13,2,2.5650000000000000,
52401020930017,5.74,2,2.8700000000000000,2.3000000000000000
52401020930018,2.62,3,0.87333333333333333333,2.4000000000000000
52401020930019,8.14,3,2.7133333333333333,
52401020930020,6.03,2,3.0150000000000000,
52401020930021,6.58,2,3.2900000000000000,2.4000000000000000
52401020930022,5.04,1,5.0400000000000000,
52401020930023,7.07,2,3.5350000000000000,2.4600000000000000
52401020930024,6.91,2,3.4550000000000000,
52401020930025,6.80,2,3.4000000000000000,2.6800000000000000
52401020930026,5.97,2,2.9850000000000000,
52401020930027,9.77,4,2.4425000000000000,2.3781250000000000
52401020930028,5.13,2,2.5650000000000000,
52401020930029,9.04,3,3.0133333333333333,
52401020930030,4.18,1,4.1800000000000000,2.3000000000000000
52401020930031,6.06,2,3.0300000000000000,
52401020930032,6.13,2,3.0650000000000000,2.3600000000000000
52401020930033,6.13,2,3.0650000000000000,
52401020930034,4.57,2,2.2850000000000000,2.5000000000000000
52401020930035,8.46,4,2.1150000000000000,2.4000000000000000
52401020930036,9.52,3,3.1733333333333333,2.3400000000000000
52401020930037,6.07,3,2.0233333333333333,2.2960000000000000
52401020930038,6.42,2,3.2100000000000000,
52401020930039,6.03,2,3.0150000000000000,
52401020930040,3.94,1,3.9400000000000000,2.4000000000000000
52401020930041,11.95,3,3.9833333333333333,2.8057142857142857
52401020930042,2.81,1,2.8100000000000000,
52401020930043,5.23,2,2.6150000000000000,
52401020930044,8.41,3,2.8033333333333333,3.0000000000000000
52401020930045,6.39,2,3.1950000000000000,
52401020930046,5.05,2,2.5250000000000000,2.4000000000000000
52401020930047,5.92,2,2.9600000000000000,
52401020930048,5.68,2,2.8400000000000000,
52401020930049,6.16,2,3.0800000000000000,
52401020930050,3.26,1,3.2600000000000000,
52401020930051,4.93,2,2.4650000000000000,
52401020930052,6.92,2,3.4600000000000000,
52401020930053,4.80,1,4.8000000000000000,2.3000000000000000
52401020930054,6.52,2,3.2600000000000000,2.4000000000000000
52401020930055,4.99,2,2.4950000000000000,
52401020930056,6.54,2,3.2700000000000000,
52401020930057,8.01,2,4.0050000000000000,2.4100000000000000
52401020930058,7.96,4,1.9900000000000000,2.4000000000000000
52401020930059,5.51,2,2.7550000000000000,
52401020930060,10.61,3,3.5366666666666667,2.7825000000000000
52401020930061,6.35,2,3.1750000000000000,
52401020930062,6.44,2,3.2200000000000000,2.5800000000000000
52401020930063,6.40,2,3.2000000000000000,
52401020930064,7.03,2,3.5150000000000000,
52401020930065,4.29,2,2.1450000000000000,
52401020930066,6.82,2,3.4100000000000000,2.6000000000000000
52401020930067,2.55,1,2.5500000000000000,2.3800000000000000
52401020930068,9.05,3,3.0166666666666667,3.0300000000000000
52401020930069,10.26,3,3.4200000000000000,
52401020930070,10.94,3,3.6466666666666667,2.5600000000000000
52401020930071,7.90,2,3.9500000000000000,2.6175000000000000
52401020930072,6.33,2,3.1650000000000000,2.6000000000000000
52401020930073,11.60,4,2.9000000000000000,
52401020930074,4.12,1,4.1200000000000000,
52401020930075,5.82,2,2.9100000000000000,
52401020930076,5.82,2,2.9100000000000000,2.6200000000000000
52401020930077,6.29,2,3.1450000000000000,
52401020930078,6.25,2,3.1250000000000000,2.3900000000000000
52401020930079,8.41,3,2.8033333333333333,2.4000000000000000
52401020930080,6.35,2,3.1750000000000000,
52401020930081,6.20,2,3.1000000000000000,
52401020930082,5.85,2,2.9250000000000000,
52401020930083,5.26,2,2.6300000000000000,
52401021010001,11.89,0,,
52401021030001,9.22,3,3.0733333333333333,
52401021030002,8.98,3,2.9933333333333333,
52401021030003,9.10,3,3.0333333333333333,
52401021030004,8.49,3,2.8300000000000000,2.4000000000000000
52401021030005,7.14,2,3.5700000000000000,
52401021030006,6.22,2,3.1100000000000000,
52401021030007,8.19,2,4.0950000000000000,
52401021030008,8.40,3,2.8000000000000000,
52401021030009,11.61,4,2.9025000000000000,2.4300000000000000
52401021030010,9.13,3,3.0433333333333333,
52401021030011,8.95,4,2.2375000000000000,
52401021030012,9.10,3,3.0333333333333333,3.1300000000000000
52401021030013,5.05,2,2.5250000000000000,
52401021030014,9.65,3,3.2166666666666667,
52401021030015,8.86,3,2.9533333333333333,
52401021030016,9.59,3,3.1966666666666667,
52401021030017,8.67,3,2.8900000000000000,
52401021030018,6.13,2,3.0650000000000000,
52401021030019,8.91,3,2.9700000000000000,
52401021030020,7.95,3,2.6500000000000000,
52401021030021,8.12,3,2.7066666666666667,2.7200000000000000
52401021030022,5.78,2,2.8900000000000000,
52401021030023,9.14,3,3.0466666666666667,
52401021030024,8.84,3,2.9466666666666667,
52401021030025,6.21,2,3.1050000000000000,
52401021630001,4.85,2,2.4250000000000000,
52401021630002,9.64,3,3.2133333333333333,2.4033333333333333
52401021630003,5.29,2,2.6450000000000000,2.3000000000000000
52401021630004,3.69,1,3.6900000000000000,
52401021630005,5.89,2,2.9450000000000000,
52401021630006,8.66,2,4.3300000000000000,
52401021630007,3.83,1,3.8300000000000000,
52401021630009,7.22,2,3.6100000000000000,2.3400000000000000
52401021630010,5.73,2,2.8650000000000000,2.4800000000000000
52401021630011,5.84,2,2.9200000000000000,
52401021630012,10.51,4,2.6275000000000000,2.4530769230769231
52401021630014,5.79,2,2.8950000000000000,2.4800000000000000
52401021630015,4.26,2,2.1300000000000000,2.4800000000000000
52401021630016,5.68,2,2.8400000000000000,
52401021630017,6.04,2,3.0200000000000000,
52401021630018,3.57,1,3.5700000000000000,
52401021630019,3.82,1,3.8200000000000000,
52401021630020,5.46,2,2.7300000000000000,
52401021630021,6.56,2,3.2800000000000000,2.4100000000000000
52401021630022,6.33,2,3.1650000000000000,
52401021630023,8.76,3,2.9200000000000000,
52401021630024,6.20,2,3.1000000000000000,
52401021630025,5.86,2,2.9300000000000000,
52401021630026,5.95,2,2.9750000000000000,2.4800000000000000
52401021630027,6.34,2,3.1700000000000000,
52401021630028,5.85,2,2.9250000000000000,2.4000000000000000
52401021630029,6.30,2,3.1500000000000000,
52401021630030,6.34,2,3.1700000000000000,
52401021630031,5.59,2,2.7950000000000000,
52401021630033,5.53,2,2.7650000000000000,
52401021630035,3.77,1,3.7700000000000000,
52401021630036,3.93,1,3.9300000000000000,
52401021630041,5.45,2,2.7250000000000000,
52401021630042,6.84,2,3.4200000000000000,
52401021630043,6.50,2,3.2500000000000000,
52401021630044,5.73,2,2.8650000000000000,
52401021630045,6.85,2,3.4250000000000000,
52401021630047,5.45,2,2.7250000000000000,2.3200000000000000
52401021630048,5.89,2,2.9450000000000000,
52401021630049,3.71,1,3.7100000000000000,2.3000000000000000
52401021630051,5.97,2,2.9850000000000000,
52401021630052,3.64,1,3.6400000000000000,
52401021630054,5.25,2,2.6250000000000000,
52401021630055,7.02,2,3.5100000000000000,2.3900000000000000
52401021630056,5.92,2,2.9600000000000000,
52401021630057,5.62,2,2.8100000000000000,
52401021630058,3.54,1,3.5400000000000000,
52401021630059,4.63,1,4.6300000000000000,2.3600000000000000
52401021730003,5.69,2,2.8450000000000000,
52401021730004,9.48,3,3.1600000000000000,
52401021730007,5.84,2,2.9200000000000000,
52401021730010,8.06,3,2.6866666666666667,2.3200000000000000
52401021730012,8.60,3,2.8666666666666667,2.3800000000000000
52401021730015,9.06,3,3.0200000000000000,
52401021730016,5.76,2,2.8800000000000000,
52401021730017,5.33,2,2.6650000000000000,2.4500000000000000
52401021730018,5.69,2,2.8450000000000000,2.4000000000000000
52401021730019,7.50,2,3.7500000000000000,2.3866666666666667
52401021730021,5.51,2,2.7550000000000000,
52401021730022,26.89,10,2.6890000000000000,2.3445454545454545
52401021730023,9.02,3,3.0066666666666667,
52401021730025,9.40,3,3.1333333333333333,2.3163636363636364
52401021730026,5.93,2,2.9650000000000000,
52401021730027,8.34,3,2.7800000000000000,
52401021730028,5.67,2,2.8350000000000000,
52401021730029,5.35,2,2.6750000000000000,
52401021730030,9.03,3,3.0100000000000000,
52401021730032,8.76,3,2.9200000000000000,
52401021730034,30.92,11,2.8109090909090909,2.3030769230769231
52401021730037,8.74,3,2.9133333333333333,
52401021730038,8.90,3,2.9666666666666667,
52401021730039,4.80,2,2.4000000000000000,
52401021730041,8.61,3,2.8700000000000000,
52401021730043,9.39,3,3.1300000000000000,2.3300000000000000
52401021730044,5.20,2,2.6000000000000000,
52401021730045,5.23,2,2.6150000000000000,2.4000000000000000
52401021730046,29.96,11,2.7236363636363636,2.3273684210526316
52401021730047,5.42,2,2.7100000000000000,
52401021730050,8.67,3,2.8900000000000000,2.3000000000000000
52401021730053,7.41,3,2.4700000000000000,2.3666666666666667
52401021730056,4.03,2,2.0150000000000000,
52401021730058,8.39,3,2.7966666666666667,2.3800000000000000
52401021730059,8.67,3,2.8900000000000000,
52401021730061,5.56,2,2.7800000000000000,
52401021730062,5.32,2,2.6600000000000000,
52401021730063,5.70,2,2.8500000000000000,
52401021730064,5.46,2,2.7300000000000000,2.4100000000000000
52401021730066,5.33,2,2.6650000000000000,2.4000000000000000
52401021730067,5.35,2,2.6750000000000000,
52401021730069,5.89,2,2.9450000000000000,
52401021730070,8.94,3,2.9800000000000000,2.3200000000000000
52401021730071,9.16,3,3.0533333333333333,
52401021730074,5.44,2,2.7200000000000000,
52401021730076,8.67,3,2.8900000000000000,2.3000000000000000
52401021730077,5.77,2,2.8850000000000000,
52401021730078,9.08,3,3.0266666666666667,
52401021730081,7.86,2,3.9300000000000000,2.4000000000000000
52401021730083,8.19,3,2.7300000000000000,2.3200000000000000
52401021730085,5.63,2,2.8150000000000000,
52401021730087,8.45,3,2.8166666666666667,2.3300000000000000
52401021730088,9.01,3,3.0033333333333333,
52401021730091,5.53,2,2.7650000000000000,2.4000000000000000
52401021730092,9.00,3,3.0000000000000000,
52401021730093,9.06,3,3.0200000000000000,2.3800000000000000
52401021730094,5.49,2,2.7450000000000000,2.4000000000000000
52401021730096,5.37,2,2.6850000000000000,
52401021730097,9.30,3,3.1000000000000000,
52401021730098,4.92,2,2.4600000000000000,
52401021730100,2.53,1,2.5300000000000000,
52401021730101,8.46,3,2.8200000000000000,
52401021730103,5.89,2,2.9450000000000000,2.4000000000000000
52401021730105,5.64,2,2.8200000000000000,
52401021730106,2.41,1,2.4100000000000000,
52401021730108,5.57,2,2.7850000000000000,
52401021730112,5.41,2,2.7050000000000000,
52401021730114,8.96,3,2.9866666666666667,
52401021730116,9.24,3,3.0800000000000000,
52401021730118,18.07,7,2.5814285714285714,2.3023529411764706
52401021730119,5.29,2,2.6450000000000000,
52401021730120,8.38,3,2.7933333333333333,2.3000000000000000
52401021730121,8.58,3,2.8600000000000000,
52401021730123,8.48,3,2.8266666666666667,2.3000000000000000
52401021730125,5.47,2,2.7350000000000000,
52401021730126,9.55,3,3.1833333333333333,
52401021730127,9.19,3,3.0633333333333333,2.6000000000000000
52401021730128,5.46,2,2.7300000000000000,
52401021730130,5.92,2,2.9600000000000000,
52401021730131,9.21,3,3.0700000000000000,2.3800000000000000
52401021730132,8.83,3,2.9433333333333333,2.3800000000000000
52401021730133,8.46,3,2.8200000000000000,
52401021730134,8.87,3,2.9566666666666667,
52401021730136,29.79,11,2.7081818181818182,2.2560000000000000
52401021730137,8.77,3,2.9233333333333333,
52401021730139,5.64,2,2.8200000000000000,
52401021810002,5.68,2,2.8400000000000000,
52401021810004,5.17,1,5.1700000000000000,
52401021810005,8.62,1,8.6200000000000000,
52401021810006,8.77,3,2.9233333333333333,
52401021810008,5.52,1,5.5200000000000000,
52401021810009,3.51,1,3.5100000000000000,
52401021810011,4.29,1,4.2900000000000000,
52401021810012,9.05,2,4.5250000000000000,
52401021810014,4.78,1,4.7800000000000000,
52401021820001,3.52,1,3.5200000000000000,
52401021820006,8.17,3,2.7233333333333333,
52401021830001,4.91,1,4.9100000000000000,
52401021830003,6.05,2,3.0250000000000000,
52401021830004,4.00,1,4.0000000000000000,
52401021830006,5.23,2,2.6150000000000000,2.6200000000000000
52401021830007,4.97,2,2.4850000000000000,2.5400000000000000
52401021830010,10.43,3,3.4766666666666667,2.1200000000000000
52401021830011,9.02,3,3.0066666666666667,2.3323076923076923
52401021830013,5.28,2,2.6400000000000000,2.4100000000000000
52401021830015,6.73,2,3.3650000000000000,
52401021830017,4.90,2,2.4500000000000000,
52401021830018,5.75,2,2.8750000000000000,
52401021830019,6.22,2,3.1100000000000000,2.3200000000000000
52401021830020,6.02,2,3.0100000000000000,
52401021830021,4.92,2,2.4600000000000000,
52401021830022,8.51,3,2.8366666666666667,
52401021830023,5.99,2,2.9950000000000000,
52401021830026,0.72,1,0.72000000000000000000,2.3900000000000000
52401021830027,6.09,2,3.0450000000000000,2.4300000000000000
52401021830028,5.61,2,2.8050000000000000,2.4000000000000000
52401021830029,5.05,1,5.0500000000000000,
52401021830030,6.61,2,3.3050000000000000,
52401021830031,6.21,2,3.1050000000000000,2.7600000000000000
52401021830032,8.80,3,2.9333333333333333,2.4000000000000000
52401021830033,6.11,2,3.0550000000000000,
52401021830034,4.97,2,2.4850000000000000,2.3700000000000000
52401021830035,4.33,1,4.3300000000000000,
52401021830039,10.31,3,3.4366666666666667,2.9300000000000000
52401021830040,7.82,2,3.9100000000000000,2.5600000000000000
52401021830044,6.89,2,3.4450000000000000,2.7500000000000000
52401021830045,5.83,2,2.9150000000000000,2.4000000000000000
52401021830046,4.27,1,4.2700000000000000,
52401021830047,7.99,3,2.6633333333333333,
52401021830048,6.74,2,3.3700000000000000,
52401021830050,5.47,2,2.7350000000000000,2.3800000000000000
52401021830051,5.77,2,2.8850000000000000,
52401021830052,5.54,2,2.7700000000000000,
52401021830054,5.54,2,2.7700000000000000,
52401021830055,11.09,3,3.6966666666666667,2.3000000000000000
52401021830056,6.28,2,3.1400000000000000,2.4400000000000000
52401021830057,7.05,2,3.5250000000000000,
52401021830058,6.04,2,3.0200000000000000,
52401021830059,5.94,2,2.9700000000000000,
52401021830060,7.80,3,2.6000000000000000,3.0000000000000000
52401021830061,4.58,2,2.2900000000000000,2.5000000000000000
52401021830062,6.15,2,3.0750000000000000,2.3600000000000000
52401021830063,7.84,2,3.9200000000000000,2.4000000000000000
52401021830065,29.56,10,2.9560000000000000,2.3018750000000000
52401021830066,8.04,3,2.6800000000000000,
52401021830068,6.98,2,3.4900000000000000,
52401021830069,5.11,2,2.5550000000000000,
52401021830070,11.02,4,2.7550000000000000,
52401021830071,9.09,3,3.0300000000000000,2.4000000000000000
52401021830072,6.46,2,3.2300000000000000,2.7500000000000000
52401021830073,7.04,2,3.5200000000000000,
52401021830075,7.38,2,3.6900000000000000,2.4600000000000000
52401021830076,8.65,3,2.8833333333333333,
52401021830077,6.00,2,3.0000000000000000,2.3800000000000000
52401021830078,6.45,2,3.2250000000000000,
52401021830079,7.76,2,3.8800000000000000,2.4600000000000000
52401021830080,6.22,2,3.1100000000000000,
52401021830081,6.97,3,2.3233333333333333,2.3900000000000000
52401021830082,11.42,3,3.8066666666666667,2.6000000000000000
52401021830083,6.16,2,3.0800000000000000,
52401021830084,4.74,2,2.3700000000000000,
52401021830086,8.91,3,2.9700000000000000,
52401021830087,6.07,2,3.0350000000000000,
52401021830088,5.68,2,2.8400000000000000,
52401021830089,11.76,3,3.9200000000000000,2.7000000000000000
52401021830090,6.25,2,3.1250000000000000,
52401021910001,7.31,3,2.4366666666666667,
52401021910002,5.31,2,2.6550000000000000,
52401021910003,7.39,1,7.3900000000000000,
52401021910004,6.85,2,3.4250000000000000,
52401021910005,11.13,3,3.7100000000000000,
52401021910006,9.73,3,3.2433333333333333,
52401021910007,7.58,2,3.7900000000000000,
52401021910008,6.29,3,2.0966666666666667,
52401021910009,7.52,2,3.7600000000000000,
52401021910010,4.70,2,2.3500000000000000,
52401021910011,8.59,3,2.8633333333333333,
52401021910012,7.71,1,7.7100000000000000,
52401021910013,4.40,1,4.4000000000000000,
52401021910014,10.28,3,3.4266666666666667,
52401021910015,5.71,2,2.8550000000000000,
52401021910016,7.33,2,3.6650000000000000,
52401021910017,9.56,3,3.1866666666666667,
52401021910018,8.62,3,2.8733333333333333,
52401021910019,4.06,2,2.0300000000000000,
52401021920001,8.13,3,2.7100000000000000,
52401021920002,5.00,1,5.0000000000000000,
52401021930001,4.94,2,2.4700000000000000,
52401021930002,6.42,2,3.2100000000000000,
52401021930003,5.85,2,2.9250000000000000,
52401021930004,6.94,2,3.4700000000000000,2.5400000000000000
52401021930005,6.12,2,3.0600000000000000,
52401021930006,5.24,2,2.6200000000000000,
52401021930007,8.58,3,2.8600000000000000,
52401021930008,8.46,3,2.8200000000000000,2.4180000000000000
52401021930009,6.78,2,3.3900000000000000,2.5400000000000000
52401021930010,6.12,2,3.0600000000000000,
52401021930011,5.46,2,2.7300000000000000,2.5000000000000000
52401021930012,7.09,2,3.5450000000000000,
52401021930013,5.53,2,2.7650000000000000,2.4800000000000000
52401021930014,6.00,2,3.0000000000000000,
52401021930015,6.12,2,3.0600000000000000,2.4800000000000000
52401021930016,8.58,3,2.8600000000000000,
52401021930017,5.79,2,2.8950000000000000,
52401021930018,5.73,2,2.8650000000000000,2.5400000000000000
52401021930019,6.24,2,3.1200000000000000,2.2000000000000000
52401021930020,11.67,4,2.9175000000000000,2.5700000000000000
52401021930021,6.09,2,3.0450000000000000,
52401021930022,5.96,2,2.9800000000000000,
52401021930023,6.63,2,3.3150000000000000,2.4100000000000000
52401021930024,6.01,2,3.0050000000000000,2.5400000000000000
52401021930025,6.89,2,3.4450000000000000,
52401021930026,6.80,2,3.4000000000000000,
52401021930027,5.47,2,2.7350000000000000,
52401021930028,5.98,2,2.9900000000000000,2.4500000000000000
52401021930029,6.22,2,3.1100000000000000,
52401021930030,5.32,2,2.6600000000000000,2.4000000000000000
52401021930031,4.72,2,2.3600000000000000,2.4000000000000000
52401021930032,5.89,2,2.9450000000000000,2.3400000000000000
52401021930033,6.31,2,3.1550000000000000,2.9800000000000000
52401021930034,3.59,1,3.5900000000000000,
52401021930035,6.01,2,3.0050000000000000,
52401021930036,2.23,1,2.2300000000000000,
52401022010001,11.10,3,3.7000000000000000,
52401022010002,7.66,3,2.5533333333333333,
52401022010003,9.19,3,3.0633333333333333,
52401022010004,9.10,3,3.0333333333333333,
52401022010005,10.54,3,3.5133333333333333,2.7200000000000000
52401022010006,8.78,3,2.9266666666666667,
52401022010007,7.32,2,3.6600000000000000,
52401022010008,9.10,3,3.0333333333333333,
52401022010009,11.90,2,5.9500000000000000,
52401022010010,11.62,4,2.9050000000000000,
52401022010012,10.38,3,3.4600000000000000,
52401022010013,9.40,3,3.1333333333333333,
52401022010014,8.81,3,2.9366666666666667,
52401022010015,6.82,3,2.2733333333333333,
52401022010016,8.64,3,2.8800000000000000,
52401022010017,8.35,3,2.7833333333333333,
52401022010018,8.18,2,4.0900000000000000,2.7000000000000000
52401022010019,6.24,2,3.1200000000000000,
52401022010020,6.66,2,3.3300000000000000,
52401022010021,7.56,2,3.7800000000000000,
52401022010023,8.19,3,2.7300000000000000,
52401022010024,9.43,3,3.1433333333333333,
52401022010025,7.88,2,3.9400000000000000,
52401022010026,8.25,3,2.7500000000000000,
52401022010027,5.35,2,2.6750000000000000,
52401022020001,6.94,1,6.9400000000000000,
52401022020002,8.81,3,2.9366666666666667,
52401022030001,10.22,3,3.4066666666666667,
52401022030002,11.62,4,2.9050000000000000,
52401022030009,11.72,4,2.9300000000000000,
52401022030011,5.84,2,2.9200000000000000,
52401022030013,7.24,2,3.6200000000000000,
52401022030017,8.07,2,4.0350000000000000,2.7800000000000000
52401119930001,6.01,2,3.0050000000000000,2.3400000000000000
52401119930003,6.76,2,3.3800000000000000,2.4800000000000000
52401119930006,5.98,2,2.9900000000000000,
52401119930008,5.97,2,2.9850000000000000,
52401119930009,5.67,2,2.8350000000000000,
52401119930010,4.85,2,2.4250000000000000,2.4600000000000000
52401119930012,5.69,2,2.8450000000000000,
52401119930013,5.73,2,2.8650000000000000,
52401119930016,6.68,2,3.3400000000000000,2.4000000000000000
52401119930017,6.27,2,3.1350000000000000,2.4800000000000000
52401119930018,4.62,2,2.3100000000000000,
52401119930023,5.18,2,2.5900000000000000,2.5500000000000000
52401119930025,5.23,2,2.6150000000000000,2.5000000000000000
52401119930026,6.20,2,3.1000000000000000,
52401119930030,5.80,2,2.9000000000000000,
52401119930032,6.45,2,3.2250000000000000,2.3800000000000000
52401119930034,6.25,2,3.1250000000000000,
52401119930042,5.86,2,2.9300000000000000,2.4100000000000000
52401119930044,5.40,2,2.7000000000000000,
52401119930045,5.95,2,2.9750000000000000,
52401119930046,5.39,2,2.6950000000000000,
52401119930047,6.31,2,3.1550000000000000,
52401119930051,6.17,2,3.0850000000000000,
52401119930052,5.71,2,2.8550000000000000,2.5500000000000000
52401119930054,5.53,2,2.7650000000000000,
52401119930055,6.29,2,3.1450000000000000,
52401119930057,6.21,2,3.1050000000000000,
52401119930060,6.04,2,3.0200000000000000,
52401119930061,5.72,2,2.8600000000000000,
52401119930062,6.44,2,3.2200000000000000,
52401120610002,8.30,3,2.7666666666666667,2.5000000000000000
52401120610004,8.25,3,2.7500000000000000,
52401120610005,5.31,2,2.6550000000000000,
52401120610006,5.44,2,2.7200000000000000,
52401120610007,8.45,2,4.2250000000000000,
52401120610008,6.42,2,3.2100000000000000,
52401120610009,5.03,2,2.5150000000000000,
52401120610010,11.75,3,3.9166666666666667,2.3840000000000000
52401120610011,8.72,3,2.9066666666666667,
52401120610012,7.79,2,3.8950000000000000,
52401120610013,8.09,3,2.6966666666666667,2.5000000000000000
52401120610015,8.48,2,4.2400000000000000,
52401120610016,7.93,2,3.9650000000000000,2.7000000000000000
52401120610017,3.24,1,3.2400000000000000,
52401120610018,6.42,2,3.2100000000000000,
52401120630001,5.92,2,2.9600000000000000,2.4600000000000000
52401120630003,6.00,2,3.0000000000000000,2.6000000000000000
52401120630004,5.61,2,2.8050000000000000,2.4000000000000000
52401120630005,6.48,2,3.2400000000000000,2.6000000000000000
52401120630009,7.74,2,3.8700000000000000,
52401120630018,6.86,2,3.4300000000000000,2.1500000000000000
52401120630021,7.67,3,2.5566666666666667,
52401120630023,7.85,3,2.6166666666666667,
52401120810001,6.78,1,6.7800000000000000,
52401120810002,5.68,2,2.8400000000000000,
52401120810003,4.80,2,2.4000000000000000,
52401120830001,6.23,2,3.1150000000000000,
52401120830002,6.60,2,3.3000000000000000,
52401120830003,5.33,2,2.6650000000000000,
52401120830004,5.99,2,2.9950000000000000,
52401120830005,5.83,2,2.9150000000000000,
52401120830006,6.33,2,3.1650000000000000,
52401120830007,6.44,2,3.2200000000000000,2.5000000000000000
52401120830008,6.27,2,3.1350000000000000,
52401120830009,3.98,2,1.9900000000000000,2.4600000000000000
52401120830010,6.27,2,3.1350000000000000,
52401120830011,5.29,2,2.6450000000000000,2.7000000000000000
52401120830012,5.74,2,2.8700000000000000,2.4000000000000000
52401120830013,4.90,1,4.9000000000000000,
52401120830014,6.08,2,3.0400000000000000,
52401120830015,6.36,2,3.1800000000000000,2.4100000000000000
52401120830016,6.40,2,3.2000000000000000,
52401120830017,6.45,2,3.2250000000000000,
52401120830018,6.60,2,3.3000000000000000,2.5700000000000000
