Name,Outside_Layer,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Notes
dom1_flat_roof,25mm_stone_chippings,19mm_asphalt,40mm_flooring_screed,150mm_concrete_dense,,,,,,,
dom1_glazing,4mm_clear,,,,,,,,,,
dom1_solid_ground_floor,750mm_clay_underfloor,25mm_brick_slips,100mm_cast_concrete,50mm_flooring_screed,,,,,,,
dom1_wall,105mm_brick_outer_leaf,13mm_plasterboard_wallboard,,,,,,,,,
dom0_flat_roof,25mm_stone_chippings,19mm_asphalt,40mm_flooring_screed,150mm_concrete_dense,,,,,,,
dom0_glazing,4mm_clear,6mm_air,4mm_clear,,,,,,,,
dom0_solid_ground_floor,750mm_clay_underfloor,25mm_brick_slips,100mm_cast_concrete,50mm_flooring_screed,,,,,,,
dom0_wall,105mm_brick_outer_leaf,13mm_plasterboard_wallboard,,,,,,,,,
dom2_flat_roof,25mm_stone_chippings,19mm_asphalt,40mm_flooring_screed,150mm_concrete_dense,,,,,,,
dom2_glazing,4mm_clear,6mm_air,4mm_clear,,,,,,,,
dom2_solid_ground_floor,750mm_clay_underfloor,25mm_brick_slips,100mm_cast_concrete,50mm_flooring_screed,,,,,,,
dom2_wall,105mm_brick_outer_leaf,13mm_plasterboard_wallboard,,,,,,,,,
dom3_flat_roof,25mm_stone_chippings,19mm_asphalt,40mm_flooring_screed,150mm_concrete_dense,,,,,,,
dom3_glazing,4mm_low_e_clear,6mm_air,4mm_low_e_clear,,,,,,,,
dom3_solid_ground_floor,750mm_clay_underfloor,25mm_brick_slips,100mm_cast_concrete,50mm_flooring_screed,,,,,,,
dom3_wall,105mm_brick_outer_leaf,13mm_plasterboard_wallboard,,,,,,,,,
dom4_flat_roof,25mm_stone_chippings,19mm_asphalt,100mm_mineral_wool_dense,40mm_flooring_screed,150mm_concrete_dense,,,,,,
dom4_glazing,4mm_low_e_clear,6mm_air,4mm_low_e_clear,,,,,,,,
dom4_solid_ground_floor,750mm_clay_underfloor,25mm_brick_slips,100mm_cast_concrete,50mm_flooring_screed,,,,,,,
dom4_wall,105mm_brick_outer_leaf,100mm_concrete_1800,air_layer,13mm_plasterboard_wallboard,,,,,,,
nondom1_flat_roof,25mm_stone_chippings,19mm_asphalt,40mm_flooring_screed,150mm_concrete_dense,,,,,,,
nondom1_glazing,4mm_clear,,,,,,,,,,
nondom1_solid_ground_floor,750mm_clay_underfloor,25mm_brick_slips,100mm_cast_concrete,50mm_flooring_screed,,,,,,,
nondom1_wall,105mm_brick_outer_leaf,13mm_plasterboard_wallboard,,,,,,,,,
nondom0_flat_roof,25mm_stone_chippings,19mm_asphalt,40mm_flooring_screed,150mm_concrete_dense,,,,,,,
nondom0_glazing,4mm_low_e_clear,6mm_air,4mm_low_e_clear,,,,,,,,
nondom0_solid_ground_floor,750mm_clay_underfloor,25mm_brick_slips,100mm_cast_concrete,50mm_flooring_screed,,,,,,,
nondom0_wall,105mm_brick_outer_leaf,13mm_plasterboard_wallboard,,,,,,,,,
ceiling,10mm_carpet,100mm_concrete_1800,,,,,,,,,
ceiling_inverse,100mm_concrete_1800,10mm_carpet,,,,,,,,,
partition,25mm_gypsum_plasterboard,105mm_brick_outer_leaf,25mm_gypsum_plasterboard,,,,,,,,