Name,Zone_or_ZoneList_Name,Schedule_Name,Design_Level_Calculation_Method,Design_Level,Watts_per_Zone_Floor_Area,Watts_per_Person,Fraction_Latent,Fraction_Radiant,Fraction_Lost,EndUse_Subcategory,Notes
Dwell,Dwell,Dwell_Equip,Watts/Area,,25,,0,0.2,0,ELECTRIC EQUIPMENT#Dwell,
Arts,Arts,Arts_Equip,Watts/Area,,14.95,,0,0.2,0,ELECTRIC EQUIPMENT#Arts,
Community,Community,Community_Equip,Watts/Area,,8.4,,0,0.2,0,ELECTRIC EQUIPMENT#Community,
Education,Education,Education_Equip,Watts/Area,,8.05,,0,0.2,0,ELECTRIC EQUIPMENT#Education,
Emergency,Emergency,Emergency_Equip,Watts/Area,,11.04,,0,0.2,0,ELECTRIC EQUIPMENT#Emergency,
Factory,Factory,Factory_Equip,Watts/Area,,7.1,,0,0.2,0,ELECTRIC EQUIPMENT#Factory,
Health,Health,Health_Equip,Watts/Area,,12.79,,0,0.2,0,ELECTRIC EQUIPMENT#Health,
Hospitality,Hospitality,Hospitality_Equip,Watts/Area,,10.68,,0,0.2,0,ELECTRIC EQUIPMENT#Hospitality,
Office,Office,Office_Equip,Watts/Area,,9.64,,0,0.2,0,ELECTRIC EQUIPMENT#Office,
Shop,Shop,Shop_Equip,Watts/Area,,9.4,,0,0.2,0,ELECTRIC EQUIPMENT#Shop,
Sport,Sport,Sport_Equip,Watts/Area,,8.52,,0,0.2,0,ELECTRIC EQUIPMENT#Sport,
Transport,Transport,Transport_Equip,Watts/Area,,0.18,,0,0.2,0,ELECTRIC EQUIPMENT#Transport,
Warehouse,Warehouse,Warehouse_Equip,Watts/Area,,8.65,,0,0.2,0,ELECTRIC EQUIPMENT#Warehouse,