Name,Zone_or_ZoneList_Name,Schedule_Name,Design_Level_Calculation_Method,Lighting_Level,Watts_per_Zone_Floor_Area,Watts_per_Person,Return_Air_Fraction,Fraction_Radiant,Fraction_Visible,Fraction_Replaceable,EndUse_Subcategory,Return_Air_Fraction_Calculated_from_Plenum_Temperature,Return_Air_Fraction_Function_of_Plenum_Temperature_Coefficient_1,Return_Air_Fraction_Function_of_Plenum_Temperature_Coefficient_2,Return_Air_Heat_Gain_Node_Name,Notes
Dwell,Dwell,Dwell_Light,Watts/Area,,12,,0,0.42,0.18,1,,,,,,
Arts,Arts,Arts_Light,Watts/Area,,10,,0,0.42,0.18,1,,,,,,
Community,Community,Community_Light,Watts/Area,,10.2,,0,0.42,0.18,1,,,,,,
Education,Education,Education_Light,Watts/Area,,10.36,,0,0.42,0.18,1,,,,,,
Emergency,Emergency,Emergency_Light,Watts/Area,,7.24,,0,0.42,0.18,1,,,,,,
Factory,Factory,Factory_Light,Watts/Area,,8.24,,0,0.42,0.18,1,,,,,,
Health,Health,Health_Light,Watts/Area,,9.4,,0,0.42,0.18,1,,,,,,
Hospitality,Hospitality,Hospitality_Light,Watts/Area,,10.64,,0,0.42,0.18,1,,,,,,
Office,Office,Office_Light,Watts/Area,,9.64,,0,0.42,0.18,1,,,,,,
Shop,Shop,Shop_Light,Watts/Area,,9.4,,0,0.42,0.18,1,,,,,,
Sport,Sport,Sport_Light,Watts/Area,,8.52,,0,0.42,0.18,1,,,,,,
Transport,Transport,Transport_Light,Watts/Area,,3.68,,0,0.42,0.18,1,,,,,,
Warehouse,Warehouse,Warehouse_Light,Watts/Area,,5.56,,0,0.42,0.18,1,,,,,,