Name,Zone_or_ZoneList_Name,Number_of_People_Schedule_Name,Number_of_People_Calculation_Method,Number_of_People,People_per_Zone_Floor_Area,Zone_Floor_Area_per_Person,Fraction_Radiant,Sensible_Heat_Fraction,Activity_Level_Schedule_Name,Carbon_Dioxide_Generation_Rate,Enable_ASHRAE_55_Comfort_Warnings,Mean_Radiant_Temperature_Calculation_Type,Surface_NameAngle_Factor_List_Name,Work_Efficiency_Schedule_Name,Clothing_Insulation_Calculation_Method,Clothing_Insulation_Calculation_Method_Schedule_Name,Clothing_Insulation_Schedule_Name,Air_Velocity_Schedule_Name,Thermal_Comfort_Model_1_Type,Thermal_Comfort_Model_2_Type,Thermal_Comfort_Model_3_Type,Thermal_Comfort_Model_4_Type,Thermal_Comfort_Model_5_Type,Notes
People Dwell,Dwell,Dwell_Occ,Area/Person,,,4,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Arts,Arts,Arts_Occ,People/Area,,0.154287871,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Community,Community,Community_Occ,People/Area,,0.073697535,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Education,Education,Education_Occ,People/Area,,0.27537664,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Emergency,Emergency,Emergency_Occ,People/Area,,0.148811109,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Factory,Factory,Factory_Occ,People/Area,,0.086678056,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Health,Health,Health_Occ,People/Area,,0.0982,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Hospitality,Hospitality,Hospitality_Occ,People/Area,,0.144052259,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Office,Office,Office_Occ,People/Area,,0.124985714,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Shop,Shop,Shop_Occ,People/Area,,0.121966495,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Sport,Sport,Sport_Occ,People/Area,,0.118479684,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Transport,Transport,Transport_Occ,People/Area,,0.019651061,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,
People Warehouse,Warehouse,Warehouse_Occ,People/Area,,0.097862503,,0.3,AutoCalculate,Activity Schedule 98779,3.82E-08,No,ZoneAveraged,,Work efficiency,ClothingInsulationSchedule,,Clothing Schedule 98779,AirVelocitySchedule,Fanger,,,,,